CVE_ID,CVSS_Score_Scaled,Severity_CRITICAL,Severity_HIGH,Severity_LOW,Severity_MEDIUM,Severity_UNKNOWN,Attack_Vector_ADJACENT_NETWORK,Attack_Vector_LOCAL,Attack_Vector_NETWORK,Attack_Vector_PHYSICAL,Attack_Vector_UNKNOWN,CVSS_Risk_Bin
CVE-2019-5092,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2019-5093,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2020-6152,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2020-35308,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2021-21807,1.6706226099171497,True,False,False,False,False,False,False,True,False,False,CRITICAL
CVE-2022-24055,-0.5422789155307406,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2022-24056,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24057,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24058,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24059,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24060,-0.5422789155307406,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2022-24061,-0.5422789155307406,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2022-24062,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24063,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-24064,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-1114,0.2811263032405671,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2022-2119,0.48697760793339423,False,True,False,False,False,True,False,False,False,False,HIGH
CVE-2022-2120,0.48697760793339423,False,True,False,False,False,True,False,False,False,False,HIGH
CVE-2022-2121,0.48697760793339423,False,True,False,False,False,True,False,False,False,False,HIGH
CVE-2022-28668,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2023-33255,-0.23350195849150032,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-32782,0.3325891294137741,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-3892,-0.490816089357534,False,False,False,True,False,True,False,False,False,False,MEDIUM
CVE-2023-35986,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2023-39431,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2023-5059,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2021-40367,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2023-7238,0.2811263032405671,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-24793,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-24794,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-22100,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2024-25578,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2024-25386,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-1453,0.6413660864530144,False,True,False,False,False,False,True,False,False,False,HIGH
CVE-2024-22373,0.7957545649726345,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-22391,0.5899032602798078,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-25569,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-32131,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-32132,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-32133,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-32134,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-32135,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-34294,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2023-34295,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-34296,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-34297,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2023-35734,-0.027650653798673177,False,False,False,True,False,False,False,True,False,False,MEDIUM
CVE-2024-23912,-1.3142213081288416,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2024-23913,-1.3142213081288416,False,False,False,True,False,False,True,False,False,False,MEDIUM
CVE-2024-23914,-0.439353263184327,False,False,False,True,False,True,False,False,False,False,MEDIUM
CVE-2024-28877,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-33606,1.1559943481850823,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-42845,0.7442917387994279,False,True,False,False,False,False,False,True,False,False,HIGH
CVE-2024-47796,0.9501430434922551,False,True,False,False,False,False,True,False,False,False,HIGH
